Name,Price,ShortDescription,longDescription,image,Category,Type
Beef Ribeye,79,"Ribeye • 500 gm","A premium cut of tender beef from Brazil.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW
Beef Tenderloin,75,"Tenderloin • 500 gm","A tender and lean cut from Brazil.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW
Beef Knuckle,34,"Knuckle • 500 gm","A flavorful cut from Brazil.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW
Boneless Beef,45,"Boneless • 1 kg","Lean and tender boneless beef from India.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW
Minced Beef,37,"Minced • 500 gm","Freshly ground beef from Brazil.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW
Beef Topside,36,"Topside • 500 gm","A versatile cut of beef from Brazil.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Beef,RAW

Boneless Lamb,39.5,"Boneless • 500 gm","Tender lamb meat from Australia.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Fresh Mutton Leg,68,"Leg • 1 kg","Lean and tender leg of mutton.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Mutton Liver,24,"Liver • 500 gm","Tender liver from India.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Premium Mutton Shoulder,68,"Shoulder • 1 kg","High-quality mutton shoulder from India.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Premium Mutton,68,"Premium • 1 kg","High-quality mutton meat from India.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Lamb Chops,72,"Chops • 500 gm","Tender lamb chops from Australia.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Fresh Mutton,75,"Fresh • 1 kg","Quality mutton meat.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW
Premium Mutton Mince,78,"Minced • 1 kg","Ground premium mutton from India.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Mutton,RAW

Chicken Mince,20,"Minced • 500 gm","Freshly minced chicken from UAE.",https://test.themeatpro.com/assets/Chicken/1065 Chicken Mince.jpg,Chicken,RAW
